#period	period time	calc time
1	2237	1250
2	1751	1250
3	2248	1250
4	1749	1508
5	2753	2246
6	2740	1257
7	1748	1505
8	2002	1249
9	1996	1252
10	1749	1750
11	2499	1758
12	2500	1248
13	2496	1756
14	2248	1501
15	1998	1247
16	1998	1502
17	2743	1504
18	2002	1762
19	2252	1250
20	1998	1271
21	1748	1496
22	2247	1747
23	2998	1501
24	1998	1256
25	1746	1514
26	2005	1248
27	1745	1501
28	2006	1495
29	2742	1250
30	1746	1501
31	1999	1500
32	2247	1247
33	1753	1499
34	1996	2250
35	2503	1497
36	1994	1252
37	1999	1249
38	1747	1251
39	1748	1500
40	2505	1994
41	2492	1500
42	2247	1251
43	1749	1501
44	1998	1500
45	1998	2501
46	3248	1250
47	1745	1503
48	2002	1754
49	2251	1501
50	1996	2500
51	2997	1251
52	1748	1502
53	2000	1502
54	1994	1505
55	1752	1751
56	2748	2012
57	2499	1498
58	1995	1506
59	1751	1503
60	1999	1500
61	1998	1747
62	2499	2249
63	2496	1502
64	1999	1501
65	1998	1251
66	1750	1499
67	1997	2000
68	2997	2000
69	2498	1500
70	2003	1499
71	1992	1503
72	1999	1497
73	1741	2758
74	3259	1499
75	1746	1500
76	1998	1252
77	1749	1502
78	1999	1255
79	2498	2501
80	2748	1501
81	1998	1251
82	1749	1502
83	1998	1500
84	1998	1750
85	2498	2000
86	2498	2002
87	2248	1501
88	2004	1246
89	1742	1771
90	2253	2520
91	2998	1248
92	1745	1501
93	1998	1256
94	1999	1253
95	2000	1271
96	2250	1994
97	2746	1252
98	1998	1263
99	2000	1252
100	1744	1500
101	2002	1751
102	2497	2250
103	2749	1246
104	1997	1250
105	1998	1251
106	1751	1496
107	2247	1502
108	2249	2002
109	2747	1252
110	1750	1249
111	2246	1003
112	1748	1503
113	1998	1502
114	3247	1252
115	2000	1252
116	1998	1250
117	1997	1250
118	1750	1503
119	2247	2252
120	2998	1251
121	1998	1250
122	1748	1501
123	2248	1021
124	1752	2256
125	3247	1249
126	2001	1246
127	1998	1246
128	1745	1270
129	1751	1748
130	2501	2245
131	2741	1502
132	2255	1002
133	1742	1501
134	2251	1248
135	1745	2271
136	3499	1259
137	1752	1250
138	2001	1501
139	1993	1250
140	1997	1253
141	2001	2246
142	2997	1001
143	1997	1251
144	1998	1253
145	1749	1501
146	2248	2250
147	2748	1502
148	1998	1503
149	1999	1500
150	2248	1250
151	1998	1251
152	2999	1253
153	1748	1500
154	1997	1251
155	1750	1503
156	1749	1250
157	1748	2500
158	2998	1249
159	1997	1252
160	1748	1501
161	2000	1250
162	1997	1746
163	2490	2001
164	2499	1252
165	1748	1264
166	1753	1796
167	2031	1464
168	1958	1006
169	2250	2256
170	2752	1248
171	1745	2002
172	2249	1754
173	2248	1251
174	2266	2489
175	3235	1511
176	2001	1252
177	1997	1254
178	1749	1506
179	1999	1503
180	3496	1498
181	1750	1246
182	1997	1253
183	1999	1247
184	1749	1251
185	1753	2499
186	2745	1494
187	1997	1251
188	1748	1251
189	1747	1503
190	2258	1240
191	2990	1257
192	2000	1250
193	1748	1504
194	2002	1499
195	1996	1500
196	3498	1255
197	1747	1251
198	1750	1505
199	2247	1253
200	1998	1251
201	1752	2247
202	2496	1498
203	1996	1261
204	2000	1251
205	1748	1250
206	1753	1498
207	2492	2001
208	2749	1501
209	1998	1251
210	1750	1509
211	1998	1500
212	1997	2507
213	3747	1502
214	2000	1503
215	1748	1499
216	1997	1247
217	1741	2016
218	2757	2006
219	2500	1499
220	1997	1254
221	1748	1751
222	2249	1501
223	1999	1759
224	2499	2289
225	2748	1256
226	1748	1751
227	1999	1747
228	1997	1501
229	1998	1253
230	2498	1753
231	2251	1748
